isoelectric_point,protein_format,molecular_weight_da,product_conc_mg_ml,ph,kcl_conc,succinate_conc,fructose_conc,ps80_conc,mannitol_conc,citrate_conc,llysine_conc,ps50_conc,tm_c
5.772,KNOB_HOLE,421360.71,34.56,4.5,0.0,15.0,270.0,0.4,0.0,0.0,0.0,0.0,153.827466665848
5.982600000000001,IGG3,386626.68,518.4,6.0,0.0,0.0,0.0,0.0,0.0,15.0,135.0,0.4,159.86367302848
5.545800000000001,DOPPELMAB,524743.11,172.8,5.5,0.0,15.0,135.0,0.0,0.0,0.0,67.5,0.4,148.997333334152
5.8422,IGG3,388669.23,518.4,4.5,0.0,15.0,135.0,0.0,0.0,0.0,67.5,0.4,167.171733334152
5.982600000000001,IGG3,386626.68,172.8,5.5,0.0,15.0,0.0,0.0,135.0,0.0,67.5,0.4,163.27343606848
6.411600000000001,IGG4,404683.89,172.8,5.0,135.0,0.0,0.0,0.0,0.0,15.0,0.0,0.4,165.059573334152
5.499,IGG3,389595.72,345.6,5.0,0.0,15.0,135.0,0.0,0.0,0.0,67.5,0.4,163.042044364952
,IGG3,386148.75,518.4,5.5,0.0,15.0,135.0,0.0,135.0,0.0,0.0,0.4,163.880693334152
5.772,KNOB_HOLE,421360.71,172.8,4.5,0.0,15.0,0.0,0.4,135.0,0.0,67.5,0.0,146.54952
5.9124,KNOB_HOLE,272510.88,103.68,5.5,0.0,15.0,0.0,0.0,270.0,0.0,0.0,0.4,153.06134514496802
6.3024,IGG3,384763.02,172.8,5.5,67.5,15.0,0.0,0.0,0.0,0.0,67.5,0.4,163.16026666584798
5.772,KNOB_HOLE,421360.71,172.8,6.0,135.0,0.0,0.0,0.4,0.0,15.0,0.0,0.0,150.28264
5.499,IGG3,389595.72,518.4,5.0,0.0,15.0,0.0,0.0,0.0,0.0,135.0,0.4,158.305773095368
6.6534,DOPPELMAB,530229.96,103.68,5.0,67.5,0.0,0.0,0.0,0.0,15.0,67.5,0.4,132.787733334152
6.3024,IGG3,384763.02,518.4,5.0,0.0,0.0,0.0,0.0,270.0,15.0,0.0,0.4,159.831719181536
6.411600000000001,IGG4,404683.89,103.68,5.0,67.5,0.0,0.0,0.0,0.0,15.0,67.5,0.4,160.94168
,IGG3,386148.75,172.8,5.0,0.0,15.0,135.0,0.0,135.0,0.0,0.0,0.4,165.58352
6.232200000000001,IGG4,455066.79,518.4,5.0,0.0,0.0,0.0,0.0,0.0,15.0,135.0,0.4,148.36806089463198
5.8422,IGG3,388669.23,518.4,7.0,0.0,0.0,0.0,0.0,270.0,15.0,0.0,0.4,179.79557333415198
5.982600000000001,IGG3,386626.68,518.4,6.0,135.0,0.0,0.0,0.0,0.0,15.0,0.0,0.4,161.23108221968
5.982600000000001,IGG3,386626.68,345.6,4.5,0.0,15.0,0.0,0.0,0.0,0.0,135.0,0.4,147.35955028184
6.6534,DOPPELMAB,530229.96,103.68,6.0,0.0,0.0,0.0,0.0,270.0,15.0,0.0,0.4,133.19706666584798
,IGG3,386148.75,518.4,5.5,0.0,15.0,0.0,0.0,270.0,0.0,0.0,0.4,162.65269333415202
6.3024,IGG3,384763.02,518.4,4.5,0.0,15.0,135.0,0.0,0.0,0.0,67.5,0.4,153.274876538968
6.162000000000001,IGG3,391603.56,518.4,5.0,0.0,0.0,0.0,0.0,135.0,15.0,67.5,0.4,147.346143166952
5.7642,NANO_MB,241517.52,293.76,5.5,0.0,0.0,0.0,0.4,0.0,15.0,135.0,0.0,154.326853334152
6.6534,DOPPELMAB,530229.96,172.8,5.0,135.0,0.0,0.0,0.0,0.0,15.0,0.0,0.4,133.36079999999998
5.772,KNOB_HOLE,421360.71,172.8,5.0,135.0,0.0,0.0,0.4,0.0,15.0,0.0,0.0,140.07386666584802
6.162000000000001,IGG3,391603.56,172.8,6.0,0.0,0.0,0.0,0.0,135.0,15.0,67.5,0.4,158.7283114328
6.232200000000001,IGG4,455066.79,518.4,5.0,0.0,0.0,135.0,0.0,135.0,15.0,0.0,0.4,156.257910585928
5.982600000000001,IGG3,386626.68,518.4,5.0,135.0,15.0,0.0,0.0,0.0,0.0,0.0,0.4,154.83852955383998
5.499,IGG3,389595.72,345.6,6.0,0.0,0.0,0.0,0.0,270.0,15.0,0.0,0.4,171.586266604552
6.411600000000001,IGG4,404683.89,34.56,5.5,0.0,15.0,270.0,0.0,0.0,0.0,0.0,0.4,174.064906665848
5.545800000000001,DOPPELMAB,524743.11,172.8,5.0,67.5,0.0,0.0,0.0,0.0,15.0,67.5,0.4,145.23146666584802
