isoelectric_point,molecular_weight_da,product_conc_mg_ml,ph,kcl_conc,ps50_conc,llysine_conc,ps80_conc,mannitol_conc,citrate_conc,succinate_conc,fructose_conc,tm_c,protein_format_doppelmab,protein_format_igg3,protein_format_igg4,protein_format_knob_hole,protein_format_nano_mb
5.7642,241517.52,414.72,5.0,0.0,0.0,135.0,0.4,0.0,0.0,15.0,0.0,152.49304,0.0,0.0,0.0,0.0,1.0
5.545800000000001,524743.11,172.8,4.5,0.0,0.4,0.0,0.0,135.0,0.0,15.0,135.0,147.8512,1.0,0.0,0.0,0.0,0.0
6.162000000000001,391603.56,172.8,4.5,135.0,0.4,0.0,0.0,0.0,0.0,15.0,0.0,140.801896569832,0.0,1.0,0.0,0.0,0.0
6.232200000000001,455066.79,172.8,4.5,67.5,0.4,67.5,0.0,0.0,0.0,15.0,0.0,140.59466940363998,0.0,0.0,1.0,0.0,0.0
6.3024,384763.02,172.8,7.0,135.0,0.4,0.0,0.0,0.0,15.0,0.0,0.0,171.48102790099202,0.0,1.0,0.0,0.0,0.0
5.9124,272510.88,34.56,5.0,0.0,0.4,0.0,0.0,270.0,15.0,0.0,0.0,147.051207422088,0.0,0.0,0.0,1.0,0.0
5.545800000000001,524743.11,172.8,5.5,67.5,0.4,67.5,0.0,0.0,0.0,15.0,0.0,147.4828,1.0,0.0,0.0,0.0,0.0
5.545800000000001,524743.11,172.8,4.5,135.0,0.4,0.0,0.0,0.0,0.0,15.0,0.0,143.266666665848,1.0,0.0,0.0,0.0,0.0
5.772,421360.71,34.56,5.0,0.0,0.0,135.0,0.4,0.0,15.0,0.0,0.0,146.3776,0.0,0.0,0.0,1.0,0.0
5.7642,241517.52,293.76,5.5,67.5,0.0,67.5,0.4,0.0,15.0,0.0,0.0,154.097626665848,0.0,0.0,0.0,0.0,1.0
5.8422,388669.23,518.4,5.5,0.0,0.4,0.0,0.0,0.0,0.0,15.0,270.0,183.332213334152,0.0,1.0,0.0,0.0,0.0
6.3024,384763.02,518.4,6.0,135.0,0.4,0.0,0.0,0.0,15.0,0.0,0.0,163.67490017969598,0.0,1.0,0.0,0.0,0.0
6.411600000000001,404683.89,172.8,5.5,0.0,0.4,0.0,0.0,270.0,0.0,15.0,0.0,171.55978666584798,0.0,0.0,1.0,0.0,0.0
6.162000000000001,391603.56,172.8,4.5,0.0,0.4,67.5,0.0,0.0,0.0,15.0,135.0,144.20305622464,0.0,1.0,0.0,0.0,0.0
